titles,publish_year,length,age_restriction,votes,rating
Black Bird,2021 ,1h 25m,TV-MA,99K,8.1
The Act,2021 ,1h 25m,TV-MA,37K,7.9
Narcos,2021 ,1h 25m,TV-MA,463K,8.8
Bastarden,2023,2h 7m,R,8.7K,7.7
Erin Brockovich,2000,2h 11m,R,217K,7.4
Elvis,2022,2h 39m,PG-13,227K,7.3
Tombstone,1993,2h 10m,R,164K,7.8
Goodfellas,1990,2h 25m,R,1.2M,8.7
The Great,2021 ,1h 25m,TV-MA,53K,8.2
The New Look,2024 ,not available,not available,not available,not available
Braveheart,1995,2h 58m,R,1.1M,8.3
House of Gucci,2021,2h 38m,R,157K,6.6
Julia,2021 ,1h 25m,TV-MA,12K,8.3
Our Flag Means Death,2021 ,1h 25m,TV-MA,41K,7.8
The Crowded Room,2021 ,1h 25m,TV-MA,30K,7.7
Ford v Ferrari,2019,2h 32m,PG-13,455K,8.1
The King,2019,2h 20m,R,149K,7.3
The Greatest Showman,2017,1h 45m,PG,306K,7.5
Cristóbal Balenciaga,2021 ,1h 25m,TV-MA,488,7.7
Jerry & Marge Go Large,2022,1h 36m,PG-13,23K,6.9
Mtsvane Tsigni,2018,2h 10m,PG-13,554K,8.2
BlackBerry,2023,2h,R,34K,7.4
The Long Shadow,2021 ,1h 25m,TV-MA,5.9K,7.8
Sam Bahadur,2021 ,1h 25m,TV-MA,11K,8.0
Love & Death,2021 ,1h 25m,TV-MA,35K,7.5
Viski tango foqstrori,2016,1h 52m,R,56K,6.6
True Detective,2021 ,1h 25m,TV-MA,630K,8.9
Saltburn,2023,2h 11m,R,152K,7.1
Poor Things,2023,2h 21m,R,60K,8.4
Reacher,2021 ,1h 25m,TV-MA,193K,8.1
Fargo,2021 ,1h 25m,TV-MA,411K,8.9
Masters of the Air,2021 ,1h 25m,TV-MA,5.1K,8.0
Griselda,2021 ,1h 25m,TV-MA,11K,7.5
The Bear,2021 ,1h 25m,TV-MA,190K,8.6
Fool Me Once,2021 ,1h 25m,TV-MA,39K,6.8
Killers of the Flower Moon,2023,3h 26m,R,186K,7.7
The Holdovers,2023,2h 13m,R,77K,8.0
Hazbin Hotel,2021 ,1h 25m,TV-MA,11K,7.7
Oppenheimer,2023,3h,R,619K,8.4
Yellowstone,2021 ,1h 25m,TV-MA,207K,8.7
Boy Swallows Universe,2021 ,1h 25m,TV-MA,10K,8.1
La sociedad de la nieve,2023,2h 24m,R,79K,7.9
The Zone of Interest,2023,1h 45m,PG-13,8.1K,7.9
Anatomie d'une chute,2023,2h 31m,R,52K,7.8
Lift,2024,1h 47m,PG-13,27K,5.5
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,not available,not available
The Kitchen,2023,1h 47m,R,5.2K,4.9
Succession,2021 ,1h 25m,TV-MA,259K,8.9
Loudermilk,2021 ,1h 25m,TV-MA,12K,7.9
Death and Other Details,2021 ,1h 25m,TV-MA,2.7K,7.0
Samefo Karis Tamashebi,2021 ,1h 25m,TV-MA,2.3M,9.2
The Hill,2023,2h 6m,PG,3.2K,6.7
American Fiction,2023,1h 57m,R,8K,7.9
Echo,2021 ,1h 25m,TV-MA,27K,6.1
Sopranos klani,2021 ,1h 25m,TV-MA,458K,9.2
Ferrari,2023,2h 10m,R,20K,6.6
All of Us Strangers,2023,1h 45m,R,9.2K,8.0
The Brothers Sun,2021 ,1h 25m,TV-MA,15K,7.7
The Boys,2021 ,1h 25m,TV-MA,627K,8.7
The Creator,2023,2h 13m,PG-13,131K,6.8
12th Fail,2021 ,1h 25m,TV-MA,92K,9.2
Suits,2021 ,1h 25m,TV-MA,468K,8.4
Animal,2021 ,1h 25m,TV-MA,73K,6.5
Doctor Who,2021 ,1h 25m,TV-MA,244K,8.6
Grey's Anatomy,2021 ,1h 25m,TV-MA,336K,7.6
Maestro,2023,2h 9m,R,42K,6.7
Shameless,2021 ,1h 25m,TV-MA,277K,8.5
Breaking Bad,2021 ,1h 25m,TV-MA,2.1M,9.5
Napoleon,2023,2h 38m,R,101K,6.5
Slow Horses,2021 ,1h 25m,TV-MA,63K,8.1
Beef,2021 ,1h 25m,TV-MA,124K,8.0
The Walking Dead,2021 ,1h 25m,TV-MA,1.1M,8.1
Past Lives,2023,1h 45m,PG-13,72K,7.9
The Iron Claw,2023,2h 12m,R,16K,8.1
Expats,2021 ,1h 25m,TV-MA,1.1K,6.0
For All Mankind,2021 ,1h 25m,TV-MA,64K,8.1
Stage Fright,1950,1h 50m,Approved,16K,7.0
The Night of the Hunter,1955,1h 32m,Not Rated,96K,8.0
Sunset Blvd.,1950,1h 50m,Passed,234K,8.4
The Maltese Falcon,1941,1h 40m,Passed,165K,8.0
Thunder Road,1958,1h 32m,Approved,4.5K,6.6
Nora Prentiss,1947,1h 51m,Passed,2K,7.1
The Third Man,1949,1h 44m,Approved,180K,8.1
Rebecca,1940,2h 10m,Approved,145K,8.1
Repeat Performance,1947,1h 31m,Approved,1.9K,6.8
Double Indemnity,1944,1h 47m,Passed,166K,8.3
Hangmen Also Die!,1943,2h 14m,Passed,6.3K,7.4
Notorious,1946,1h 42m,Not Rated,106K,7.9
Violent Saturday,1955,1h 30m,Not Rated,2.8K,6.9
The Big Sleep,1946,1h 54m,Passed,90K,7.9
Touch of Evil,1958,1h 35m,PG-13,109K,8.0
Strangers on a Train,1951,1h 41m,PG,140K,7.9
The Killing,1956,1h 24m,Approved,96K,7.9
Not as a Stranger,1955,2h 15m,Passed,2.5K,6.7
Mildred Pierce,1945,1h 51m,Approved,28K,7.9
Kiss of Death,1947,1h 39m,Approved,9.4K,7.4
Out of the Past,1947,1h 37m,Approved,40K,8.0
Gilda,1946,1h 50m,Approved,35K,7.6
Road House,1948,1h 35m,Passed,3.1K,7.2
Scarface,1932,1h 33m,PG,30K,7.7
Shadow of a Doubt,1943,1h 48m,Passed,70K,7.8
To Have and Have Not,1944,1h 40m,Passed,38K,7.8
Laura,1944,1h 28m,Passed,51K,7.9
Spellbound,1945,1h 51m,Approved,52K,7.5
The Killers,1946,1h 43m,Passed,23K,7.7
Suspicion,1941,1h 39m,Approved,42K,7.3
Fury,1936,1h 32m,Not Rated,14K,7.8
The Asphalt Jungle,1950,1h 52m,Passed,30K,7.8
Key Largo,1948,1h 40m,Approved,44K,7.7
The Stranger,1946,1h 35m,Passed,28K,7.3
Girls in Prison,2021 ,1h 25m,TV-MA,325,5.3
I Love Trouble,1948,1h 33m,Passed,1K,6.7
The Lady from Shanghai,1947,1h 27m,Not Rated,33K,7.5
In a Lonely Place,1950,1h 34m,Not Rated,35K,7.9
Island of Lost Souls,1932,1h 10m,Passed,11K,7.4
Suddenly,1954,1h 17m,Unrated,7.3K,6.8
Dark Passage,1947,1h 46m,Passed,22K,7.5
Sweet Smell of Success,1957,1h 36m,Approved,35K,8.0
Niagara,1953,1h 32m,Not Rated,20K,7.0
The Big Heat,1953,1h 29m,Passed,29K,7.9
Scarlet Street,1945,1h 42m,Approved,19K,7.7
Nightmare Alley,1947,1h 50m,Passed,13K,7.7
Angels with Dirty Faces,1938,1h 37m,Passed,23K,7.9
Kiss Me Deadly,1955,1h 46m,Not Rated,22K,7.5
The Lost Weekend,1945,1h 41m,Passed,40K,7.9
Leave Her to Heaven,1945,1h 50m,Passed,15K,7.6
Wonka,2023,1h 56m,PG,82K,7.2
Percy Jackson and the Olympians,2021 ,1h 25m,TV-MA,22K,7.3
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,not available,not available
Migration,2023,1h 23m,PG,10K,6.7
Wish,2023,1h 35m,PG,18K,5.7
Kimitachi wa dô ikiru ka,2023,2h 4m,PG-13,39K,7.6
